run_id,lr,class_weight,hidden_dim,dropout,val_auroc,test_auroc,test_f1,pre_t43_f1,post_t43_f1
r000_lr0.001_cw5.0_h64_do0.3,0.001,5.0,64,0.3,0.5,0.5,0.0,0.0,0.0
r001_lr0.001_cw5.0_h64_do0.5,0.001,5.0,64,0.5,0.5,0.5,0.0,0.0,0.0
r002_lr0.001_cw5.0_h128_do0.3,0.001,5.0,128,0.3,0.698,0.6296,0.0,0.0,0.0
r003_lr0.001_cw5.0_h128_do0.5,0.001,5.0,128,0.5,0.5,0.5,0.0,0.0,0.0
r004_lr0.001_cw7.0_h64_do0.3,0.001,7.0,64,0.3,0.5005,0.4995,0.0,0.0,0.0
r005_lr0.001_cw7.0_h64_do0.5,0.001,7.0,64,0.5,0.5,0.5,0.0,0.0,0.0
r006_lr0.001_cw7.0_h128_do0.3,0.001,7.0,128,0.3,0.5,0.5,0.0,0.0,0.0
r007_lr0.001_cw7.0_h128_do0.5,0.001,7.0,128,0.5,0.5,0.5,0.0,0.0,0.0
r008_lr0.001_cw9.0_h64_do0.3,0.001,9.0,64,0.3,0.5,0.5,0.0,0.0,0.0
r009_lr0.001_cw9.0_h64_do0.5,0.001,9.0,64,0.5,0.5,0.5,0.0,0.0,0.0
r010_lr0.001_cw9.0_h128_do0.3,0.001,9.0,128,0.3,0.5005,0.5,0.0,0.0,0.0
r011_lr0.001_cw9.0_h128_do0.5,0.001,9.0,128,0.5,0.5,0.5,0.0,0.0,0.0
r012_lr0.0005_cw5.0_h64_do0.3,0.0005,5.0,64,0.3,0.5,0.5,0.0,0.0,0.0
r013_lr0.0005_cw5.0_h64_do0.5,0.0005,5.0,64,0.5,0.5,0.5,0.0,0.0,0.0
r014_lr0.0005_cw5.0_h128_do0.3,0.0005,5.0,128,0.3,0.5,0.5,0.0,0.0,0.0
r015_lr0.0005_cw5.0_h128_do0.5,0.0005,5.0,128,0.5,0.5,0.5,0.0,0.0,0.0
r016_lr0.0005_cw7.0_h64_do0.3,0.0005,7.0,64,0.3,0.5,0.5,0.0,0.0,0.0
r017_lr0.0005_cw7.0_h64_do0.5,0.0005,7.0,64,0.5,0.5,0.5,0.0,0.0,0.0
r018_lr0.0005_cw7.0_h128_do0.3,0.0005,7.0,128,0.3,0.5,0.5,0.0,0.0,0.0
r019_lr0.0005_cw7.0_h128_do0.5,0.0005,7.0,128,0.5,0.5,0.5,0.0,0.0,0.0
r020_lr0.0005_cw9.0_h64_do0.3,0.0005,9.0,64,0.3,0.5,0.5,0.0,0.0,0.0
r021_lr0.0005_cw9.0_h64_do0.5,0.0005,9.0,64,0.5,0.6067,0.6149,0.0,0.0,0.0
r022_lr0.0005_cw9.0_h128_do0.3,0.0005,9.0,128,0.3,0.5,0.5,0.0,0.0,0.0
r023_lr0.0005_cw9.0_h128_do0.5,0.0005,9.0,128,0.5,0.5,0.5,0.0,0.0,0.0
r024_lr0.0001_cw5.0_h64_do0.3,0.0001,5.0,64,0.3,0.8718,0.7675,0.0829,0.1039,0.0716
r025_lr0.0001_cw5.0_h64_do0.5,0.0001,5.0,64,0.5,0.8794,0.7666,0.1411,0.1965,0.0506
r026_lr0.0001_cw5.0_h128_do0.3,0.0001,5.0,128,0.3,0.5,0.5,0.0,0.0,0.0
r027_lr0.0001_cw5.0_h128_do0.5,0.0001,5.0,128,0.5,0.5,0.5,0.0,0.0,0.0
r028_lr0.0001_cw7.0_h64_do0.3,0.0001,7.0,64,0.3,0.5,0.5,0.0,0.0,0.0
r029_lr0.0001_cw7.0_h64_do0.5,0.0001,7.0,64,0.5,0.8759,0.7378,0.0963,0.1254,0.0586
r030_lr0.0001_cw7.0_h128_do0.3,0.0001,7.0,128,0.3,0.5,0.5,0.0,0.0,0.0
r031_lr0.0001_cw7.0_h128_do0.5,0.0001,7.0,128,0.5,0.5,0.5,0.0,0.0,0.0
r032_lr0.0001_cw9.0_h64_do0.3,0.0001,9.0,64,0.3,0.5,0.5,0.1198,0.1813,0.0745
r033_lr0.0001_cw9.0_h64_do0.5,0.0001,9.0,64,0.5,0.5,0.5,0.1198,0.1813,0.0745
r034_lr0.0001_cw9.0_h128_do0.3,0.0001,9.0,128,0.3,0.5,0.5,0.0,0.0,0.0
r035_lr0.0001_cw9.0_h128_do0.5,0.0001,9.0,128,0.5,0.5,0.5,0.0,0.0,0.0
